ADM,BOOK,BUSI,CLOT,DATE,DENT,DOC,DPI,FLOW,FOOD,FURN,GAS,GASO,HOUS,LEGL,MAGS,MASS,OPHT,PADM,PBOOK,PBUSI,PCLOT,PDENT,PDOC,PFLOW,PFOOD,PFURN,PGAS,PGASO,PHOUS,PLEGL,PMAGS,PMASS,POP,POPHT,PRELG,PTELE,PTOB,PTOYS,PTPE,RELG,TELE,TIME,TOB,TOYS,TPE
13.19208,10.52148,190.8791,94.76089,1976,41.83242,108.973,3432.2,5.66514,392.1734,24.54962,39.37517,117.0742,531.8447,67.364,21.40845,7.242235,6.216288,33.581,34.034,31.675,80.872,22.102,23.694,52.095,43.295,57.272,27.549,36.777,30.503,20.24,32.807,30.987,218086,40.3,34.108,71.407,14.983,77.494,37.948,61.05106,27.75093,18,111.9779,12.84084,45.041
14.38437,10.9643,201.5965,99.89323,1977,43.26741,114.5378,3552.9,5.2893,398.5998,27.43343,38.06481,120.662,545.0499,69.532,21.9968,7.396844,6.239714,34.904,37.207,33.311,84.199,23.735,25.881,54.358,45.852,59.442,32.708,38.907,33.069,21.647,35.079,31.977,220289,42.647,36.415,72.218,15.704,78.554,40.41,63.79924,29.8401,19,108.0647,13.80078,46.95
15.98128,12.27758,211.1978,109.8394,1978,44.63505,116.7069,3718.8,6.23394,397.3927,28.81247,39.37722,123.4433,571.5612,74.58,24.34285,7.804069,6.457841,36.961,40.649,37.37,85.867,25.384,28.003,57.126,50.123,62.602,35.671,40.597,35.407,23.151,37.409,32.67,222629,44.955,38.949,73.012,16.572,81.538,43.248,68.26181,32.67737,20,110.2556,15.05617,49.012
16.14605,13.04493,212.8852,115.5731,1979,44.61404,121.5779,3811.2,6.73272,403.5074,30.33956,38.75648,121.7865,594.7006,72.623,27.1733,8.126027,6.769451,39.671,43.9,40.358,87.554,27.515,30.602,61.745,54.952,66.778,41.375,54.406,38.219,25.123,39.988,34.53,225106,47.385,42.748,72.732,17.532,85.329,47.059,70.82564,35.34075,21,109.3693,15.98214,50.204
15.92291,13.39204,213.3973,118.3298,1980,44.57016,128.239,3857.7,6.73866,408.1373,28.64347,38.60724,114.834,613.0089,72.052,27.1761,7.348796,6.646354,41.717,48.229,44.625,90.707,30.792,33.839,69.21,59.627,72.369,49.473,75.509,41.791,28.467,44.151,39.885,227726,51.7,48.393,74.011,18.868,92.04,52.078,71.82842,37.24727,22,110.4958,15.84008,50.065
16.38286,13.77858,212.1466,125.555,1981,47.77325,136.4892,3960,6.96924,407.5763,28.18852,37.1419,116.5752,629.0222,75.007,26.79145,6.745648,6.54381,43.442,53.285,48.207,93.33,33.73,37.539,76.188,63.88,77.072,56.384,84.018,46.062,32.281,48.602,49.316,230008,55.187,52.666,81.183,20.348,97.723,56.72,74.34917,38.05042,23,112.1373,16.33872,50.779
17.36661,13.54504,226.9557,127.5079,1982,47.77634,136.842,4044.9,7.11774,415.3288,26.17202,38.02053,118.0282,631.6592,73.432,26.04105,6.937021,6.718179,45.816,59.327,50.697,94.486,36.341,41.064,79.706,65.61,80.32,67.323,79.768,49.897,36.586,53.085,55.418,232218,57.637,55.213,89.539,22.585,101.813,59.859,77.80724,39.25638,24,107.5497,16.82152,51.493
17.84206,14.16007,259.7707,136.9539,1983,48.63722,143.2735,4177.7,7.41726,426.6174,28.9524,36.90328,120.6637,644.9149,70.875,25.7257,6.886607,7.39024,48.699,63.675,55.297,95.542,38.776,44.28,80.483,66.36,82.319,78.867,77.16,52.877,41.654,56.629,57.482,234333,59.766,57.022,94.986,26.954,102.89,62.436,80.93965,40.68877,25,102.028,17.87768,54.436
18.78021,15.37259,262.7627,148.5791,1984,49.11802,149.6173,4494.1,8.0487,435.9,32.41961,36.98692,124.4536,672.6842,73.619,26.97275,6.722443,8.55712,51.634,64.968,57.786,95.923,41.923,47.357,80.652,68.292,83.962,79.385,76.005,55.681,45.512,58.234,61.343,236394,61.613,59.053,102.001,28.68,103.345,64.795,87.69725,40.97651,26,101.9063,19.81623,57.325
17.91958,15.21454,290.7151,155.5006,1985,50.61111,157.3133,4645.2,8.36424,449.8068,34.04944,37.47564,126.8993,699.1854,79.127,25.87935,6.728085,9.669192,54.191,69.657,61.065,97.837,44.573,50.109,83.194,69.032,86.198,78.875,76.619,59.03,48.495,61.395,63.093,238506,63.892,60.312,104.836,30.325,102.887,66.936,92.29077,43.86882,27,101.5492,20.82597,60.303
18.69965,15.70083,299.2113,167.9534,1986,51.45159,162.2151,4791,9.17676,458.432,36.83389,35.42605,133.0646,717.6446,82.525,25.8083,6.665113,10.90591,56.237,72.82,66.276,97.114,47.047,53.751,83.621,70.612,88.123,75.057,60.175,62.481,51.707,63.859,68.166,240683,65.928,62.053,108.089,32.356,103.438,68.569,99.81511,45.58644,28,99.33076,22.08872,62.749
18.42909,17.51456,309.1415,173.9759,1987,53.25615,175.9116,4874.5,10.5093,456.5392,38.4475,35.68763,136.6278,739.9083,86.469,26.719,6.559826,12.01135,58.858,74.345,69.097,100.218,50.239,57.708,87.206,72.753,89.657,71.659,62.488,65.371,55.816,65.733,69.963,242843,69.718,64.339,105.487,34.594,105.779,70.947,103.6574,49.19307,29,99.80726,23.95708,64.84
19.51467,18.55151,311.5405,179.1946,1988,52.97805,186.3924,5082.6,10.91736,469.0066,39.19989,38.23332,140.2262,763.078,93.508,28.23205,7.015099,14.11637,61.559,76.702,71.952,103.529,53.61,61.84,89.257,74.912,91.696,71.214,63.017,68.345,57.982,68.069,71.431,245061,73.224,67.821,104.23,37.673,110.376,73.755,109.7758,52.1692,30,92.17706,25.1004,67.468
20.49629,18.93772,323.0611,189.4354,1989,53.28334,188.4786,5224.8,11.53656,475.297,43.29036,39.73064,143.2218,782.8356,96.013,28.35315,7.093905,15.01187,65.893,79.501,73.128,105.003,56.893,66.375,91.342,78.839,91.362,73.164,68.837,71.2,61.33,70.638,73.306,247387,75.599,70.8,104.116,42.431,113.861,76.972,114.4072,55.76082,31,90.94853,26.95462,69.369
21.6755,19.26225,330.0101,188.1464,1990,53.47121,194.7088,5324.2,11.50686,485.6789,41.79235,36.6909,141.8777,802.2107,97.477,29.21555,7.484932,17.32861,69.887,83.959,76.016,108.469,60.606,71.15,95.249,82.693,91.921,73.23,78.385,74.54,65.732,73.94,77.905,250181,78.787,73.126,103.766,46.738,115.862,80.498,121.2406,58.34039,32,87.65624,28.27623,70.782
21.64602,18.97007,349.0133,188.7448,1991,52.35016,198.0193,5351.7,11.14164,484.9082,41.00143,38.1013,140.3175,820.0962,94.219,28.1848,7.589855,15.32304,73.756,86.803,80.129,110.545,65.075,75.342,99.179,85.283,91.954,74.148,77.338,76.96,69.325,78.137,80.852,253530,81.797,75.689,104.561,52.118,117.087,83.419,122.7741,60.9825,33,81.32757,29.56841,70.903
22.28259,19.30808,358.9004,199.2179,1992,54.21652,204.2755,5536.3,11.7045,483.9391,41.35227,39.15787,145.9944,832.7781,96.465,27.0116,7.582211,15.25563,74.562,88.934,85.443,111.357,69.388,80.075,102.341,85.898,94.213,75.518,77.04,79.073,72.827,81.184,85.358,256922,85.158,77.877,104.661,56.521,118.429,85.824,131.3512,67.53899,34,84.89226,30.83342,73.224
24.548,20.6918,381.0035,207.3748,1993,54.21343,198.32,5594.2,12.61962,488.9091,43.80683,40.60312,149.7034,841.8064,95.465,27.94645,7.631078,15.31397,75.343,91.219,86.609,110.837,72.963,84.534,99.875,87.059,95.797,80.148,76.257,81.244,75.716,83.739,87.491,260282,87.338,79.795,105.173,58.547,118.978,87.804,133.4377,71.13311,35,83.13778,32.62424,75.672
25.23686,22.74211,382.6316,218.491,1994,55.25291,196.473,5746.4,13.34592,503.3996,46.3905,40.51415,151.6959,869.3644,94.266,29.65165,8.025654,16.33521,77.91,92.973,87.846,108.967,76.386,88.769,100.118,88.535,98.457,81.641,76.614,83.529,78.045,86.221,88.518,263455,89.024,81.91,107.45,56.193,119.888,89.654,140.7157,75.54914,36,84.1779,35.00087,78.504
26.15981,24.58044,386.9606,227.3743,1995,56.6638,200.096,5905.7,13.56066,507.1455,48.74028,40.44609,154.5018,887.582,92.096,30.7496,7.875777,16.33787,80.653,94.562,90.335,106.306,80.067,92.26,103.164,90.43,99.564,77.34,77.826,86.124,80.524,89.391,90.885,266588,91.616,84.503,107.011,57.582,118.439,91.577,142.4404,79.47728,37,85.40643,37.43864,80.623
27.76584,25.66053,402.3303,238.6839,1996,57.0414,204.8888,6080.9,15.00876,513.2432,51.76064,43.86549,157.9332,901.1497,94.909,31.6365,7.752381,17.91647,84.653,98.037,93.465,104.831,83.762,92.906,99.863,93.167,100.921,80.489,82.596,88.79,83.347,93.046,99.444,269714,93.071,87.028,107.272,59.334,119.084,93.547,149.9234,86.51916,38,86.61376,39.05966,83.382
28.71554,27.28487,426.3472,245.9568,1997,58.08829,210.5223,6295.8,16.27038,518.3322,56.01336,42.83721,162.8142,922.5176,97.045,33.1065,7.77504,19.69066,87.006,99.187,96.852,104.926,87.64,94.153,96.694,95.021,100.815,86.081,82.579,91.343,86.735,93.969,100.962,272958,94.498,89.839,107.517,62.095,117.951,95.124,149.4306,96.42583,39,86.67264,41.02481,86.533
29.52114,28.28643,453.9222,263.0864,1998,59.20996,218.7014,6663.9,16.74306,528.4478,59.24126,38.72245,170.3253,948.8879,99.226,33.3396,8.302567,20.74903,88.852,101.927,98.267,102.957,91.364,96.162,97.99,96.314,100.618,84.472,71.874,94.285,90.687,96.024,99.866,276154,96.245,92.514,106.118,69.897,112.642,95.978,157.7854,103.9794,40,84.26347,45.54263,90.896
30.19237,31.48658,495.3143,282.6661,1999,59.99977,224.5432,6861.3,17.92602,548.798,63.22831,39.38296,176.3167,978.5998,100.543,34.02035,8.740186,21.42197,94.163,100.118,99.247,101.288,95.647,98.296,95.767,97.833,100.363,84.897,78.207,96.92,95.052,98.211,98.604,279328,97.189,95.303,103.542,90.075,105.886,97.575,162.105,114.3764,41,79.50009,51.62203,95.537
30.4,33.7,539.1,297.7,2000,61.8,236.8,7194,18,566.7,67.6,41,175.7,1006.5,100,35,9.1,22.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,282425,100,100,100,100,100,100,172.3,125.1,42,78.5,56.6,100
30.86269,34.24459,532.8734,303.7344,2001,64.1552,249.6369,7333.3,17.48124,578.6517,68.35104,40.87372,178.3021,1033.776,101.077,34.23805,8.986068,20.09907,104.435,101.153,100.683,98.011,104.085,102.844,103.373,102.859,98.326,119.145,96.289,103.867,105.327,101.951,102.993,285358,103.175,102.893,97.979,107.666,95.864,102.094,181.2441,131.0535,43,78.01801,60.03562,102.537
31.95253,35.44027,531.2723,316.6843,2002,66.33241,270.5914,7559.5,17.41374,589.827,70.9097,40.23002,180.7444,1062.029,100.116,33.9255,8.559915,20.82704,108.232,104.172,103.925,95.396,108.741,102.835,103.608,104.371,96.309,101.63,90.405,107.797,111.466,103.829,105.283,288240,103.835,105.943,98.153,116.833,90.649,103.548,191.5183,130.707,44,76.23998,65.02321,105.698
31.70203,37.32511,547.3213,330.191,2003,66.20139,285.6045,7733.8,18.2817,609.2252,73.13847,41.09102,182.0024,1076.099,103.375,34.5128,7.843836,21.49269,112.372,103.35,105.555,93.045,113.181,104.401,103.014,106.218,95.025,124.664,105.154,110.437,117.103,105.872,112.734,291085,104.127,108.994,97.243,118.758,85.824,105.511,193.7651,133.4805,45,74.12363,70.15343,109.143
