EARNINGS,S,SM,SF,MALE,AGE,ETHBLACK,ETHHISP,DATE,EXP
45.3932,16,12,14,1,33,0,0,1995,12
11.43684,13,12,17,0,30,0,0,1995,12
19.86321,16,17,17,0,33,0,0,1995,12
27.25658,20,16,18,0,30,0,0,1995,5
8.337829,12,12,16,0,31,0,0,1995,14
20.42399,16,12,16,1,32,0,0,1995,11
12.54364,16,12,17,0,29,0,0,1995,8
16.49857,14,12,10,1,30,0,0,1995,11
13.62091,12,11,8,1,33,0,0,1995,16
24.82164,16,12,15,0,33,0,0,1995,12
35.31402,16,18,13,1,32,1,0,1995,11
11.06791,16,18,13,1,30,1,0,1995,9
13.47334,12,10,11,1,33,1,0,1995,16
9.134718,12,9,12,1,30,1,0,1995,13
12.32228,12,9,4,1,33,1,0,1995,16
19.8337,16,10,10,0,33,1,0,1995,12
21.27991,18,12,12,1,31,0,0,1995,8
13.2815,13,13,12,0,31,0,0,1995,13
17.20691,12,9,9,0,32,0,0,1995,15
25.52999,14,11,10,1,32,0,0,1995,13
16.9708,12,8,8,1,33,0,0,1995,16
19.18438,12,12,9,1,31,0,0,1995,14
11.06791,12,8,2,0,33,0,0,1995,16
7.378609,12,8,6,0,32,0,0,1995,15
11.80577,12,11,12,0,32,0,0,1995,15
16.58711,14,17,19,0,33,0,0,1995,14
16.48381,12,9,15,1,29,0,0,1995,12
12.91257,13,14,12,0,33,0,0,1995,15
16.02634,12,14,12,1,31,0,0,1995,14
26.90241,12,13,14,1,32,0,0,1995,15
31.21152,16,13,14,1,31,0,0,1995,10
26.47445,12,5,3,0,32,0,1,1995,15
16.60187,12,5,3,0,30,0,1,1995,13
10.22675,13,11,9,0,32,1,0,1995,14
6.41939,12,10,2,0,33,1,0,1995,16
23.61155,12,10,2,1,32,1,0,1995,15
14.01936,12,8,12,1,30,0,1,1995,13
10.33005,9,12,12,1,31,0,0,1995,17
7.378609,11,11,11,0,32,0,0,1995,16
28.37813,16,12,13,1,32,0,0,1995,11
18.5941,16,12,13,1,29,0,0,1995,8
6.640748,14,17,12,0,30,0,0,1995,11
14.18169,12,10,12,1,30,0,1,1995,13
31.13773,12,12,11,1,30,0,0,1995,13
15.76071,13,12,13,1,31,0,0,1995,13
26.48921,12,11,12,1,33,0,0,1995,16
13.72421,12,12,12,1,30,0,0,1995,13
21.27991,14,10,9,1,33,0,0,1995,14
18.15138,12,11,6,1,32,0,0,1995,15
17.05935,12,12,12,0,31,0,0,1995,14
8.559187,13,12,12,0,30,0,0,1995,12
29.70628,12,12,12,1,33,0,0,1995,16
35.46159,16,12,14,1,30,0,0,1995,9
12.39606,14,12,12,1,33,0,0,1995,14
16.4543,13,10,10,0,31,1,0,1995,13
10.47762,12,13,11,0,32,0,0,1995,15
16.23294,12,13,11,1,31,0,0,1995,14
9.887336,12,12,8,0,33,0,0,1995,16
10.69898,13,12,12,0,32,0,0,1995,14
10.97937,12,12,12,0,31,0,0,1995,14
20.05506,18,12,16,1,32,0,0,1995,9
9.075689,12,9,12,1,31,0,0,1995,14
14.75722,10,12,13,1,30,0,0,1995,15
17.01507,16,16,17,1,31,0,0,1995,10
78.03617,12,14,14,0,29,0,0,1995,12
17.29546,16,16,16,1,31,0,0,1995,10
25.79562,15,16,16,0,30,0,0,1995,10
52.69802,17,14,16,0,33,0,0,1995,11
30.26705,12,13,14,0,32,0,0,1995,15
18.52031,17,13,16,1,31,0,0,1995,9
11.80577,16,12,12,1,32,0,0,1995,11
15.62789,15,12,12,0,30,0,0,1995,10
24.82164,12,10,12,0,32,0,1,1995,15
19.99603,13,10,8,0,30,0,1,1995,12
11.51063,12,12,12,0,31,0,0,1995,14
34.67946,16,12,12,1,31,0,0,1995,10
15.49508,12,12,12,1,30,0,0,1995,13
25.08727,16,12,12,0,33,0,0,1995,12
9.931607,12,12,12,1,29,0,0,1995,12
21.39797,14,12,12,0,33,0,0,1995,14
24.9397,14,12,12,1,32,0,0,1995,13
11.06791,12,12,12,1,31,0,0,1995,14
23.24262,12,12,11,0,31,0,0,1995,14
24.54125,12,12,11,0,30,0,0,1995,13
31.03443,12,12,12,1,31,0,0,1995,14
11.80577,16,12,12,0,33,0,0,1995,12
13.2815,13,12,12,1,31,0,0,1995,13
32.62821,16,15,16,1,32,0,0,1995,11
28.61424,12,12,9,0,32,0,0,1995,15
16.33624,12,12,9,0,29,0,0,1995,12
15.76071,12,12,10,0,32,0,0,1995,15
17.72342,12,12,10,0,31,0,0,1995,14
24.55601,12,8,10,1,33,0,0,1995,16
11.73199,12,12,12,0,32,0,0,1995,15
14.01936,12,12,12,0,31,0,0,1995,14
18.44652,12,12,12,1,31,0,0,1995,14
25.82513,18,12,12,0,33,0,0,1995,10
21.14709,12,11,12,1,30,0,0,1995,13
19.12535,12,10,8,0,31,0,0,1995,14
11.80577,12,12,15,1,33,0,0,1995,16
14.18169,12,12,12,1,29,0,0,1995,12
16.39527,14,10,8,0,31,0,0,1995,12
23.64106,16,12,16,1,30,0,0,1995,9
23.13932,14,12,11,0,33,0,0,1995,14
22.13583,12,12,12,1,31,0,0,1995,14
15.59838,16,12,15,0,29,0,0,1995,8
9.459376,17,16,16,0,29,0,0,1995,7
31.21152,17,16,16,0,33,0,0,1995,11
14.34402,17,12,12,0,31,0,0,1995,9
8.573943,12,8,10,0,30,0,0,1995,13
11.06791,12,12,14,0,32,0,0,1995,15
11.8648,14,12,14,0,29,0,0,1995,10
7.378609,12,12,16,1,30,0,0,1995,13
6.242303,12,12,9,1,30,0,0,1995,13
13.11917,18,16,12,1,31,0,0,1995,8
23.24262,18,8,12,1,33,0,0,1995,10
57.89257,18,12,12,1,32,0,0,1995,9
28.89463,16,12,12,1,31,0,0,1995,10
11.80577,13,13,8,1,30,1,0,1995,12
8.116469,12,10,8,0,33,0,0,1995,16
11.11219,12,10,12,0,32,1,0,1995,15
13.65043,14,12,12,0,29,0,1,1995,10
16.54284,14,16,16,1,32,0,0,1995,13
40.98079,16,16,16,0,31,0,0,1995,10
20.0403,17,16,18,0,32,0,0,1995,10
7.15725,9,10,9,0,30,0,0,1995,16
32.33307,16,12,18,0,33,0,0,1995,12
15.12615,12,9,12,0,33,0,1,1995,16
14.9343,14,10,10,0,33,0,1,1995,14
21.27991,13,8,6,0,32,0,1,1995,14
11.80577,13,17,17,1,33,0,1,1995,15
41.99904,19,8,12,0,31,0,1,1995,7
26.82862,16,13,20,0,33,0,0,1995,12
9.592192,12,6,9,1,30,1,0,1995,13
23.12456,14,12,12,0,32,1,0,1995,13
14.18169,14,11,4,0,33,1,0,1995,14
16.20342,15,11,4,0,32,1,0,1995,12
7.378609,14,11,4,0,30,1,0,1995,11
13.62091,12,12,14,1,32,0,0,1995,15
18.44652,16,12,18,1,30,0,0,1995,9
14.40304,17,12,12,0,31,0,0,1995,9
13.47334,12,12,12,0,31,0,0,1995,14
24.11329,15,12,12,1,32,0,0,1995,12
13.08965,16,3,12,0,32,1,0,1995,11
20.21739,15,6,3,1,33,1,0,1995,13
22.13583,8,10,12,1,31,0,0,1995,18
6.41939,10,8,6,0,33,1,0,1995,18
14.18169,12,11,9,1,31,1,0,1995,14
11.80577,13,11,9,0,30,1,0,1995,12
17.90051,19,16,19,0,31,0,0,1995,7
29.51443,12,12,13,1,32,0,0,1995,15
11.80577,12,12,13,0,31,0,0,1995,14
17.73818,12,12,12,1,33,0,0,1995,16
13.44382,14,12,12,0,30,0,0,1995,11
7.378609,9,12,12,0,33,0,0,1995,19
6.271818,11,12,12,0,30,0,0,1995,14
14.75722,12,11,6,1,31,0,0,1995,14
5.563471,9,9,6,0,30,0,0,1995,16
11.80577,12,12,12,1,31,0,0,1995,14
8.854331,12,12,12,0,30,0,0,1995,13
40.43478,18,12,14,0,31,0,0,1995,8
16.11488,12,13,12,1,32,0,0,1995,15
8.854331,12,12,12,1,30,0,0,1995,13
8.854331,12,12,12,0,33,0,0,1995,16
22.6966,16,11,11,0,32,1,0,1995,11
11.06791,13,12,16,0,30,0,0,1995,12
17.56109,12,12,12,1,33,0,0,1995,16
9.075689,8,10,14,0,30,0,0,1995,17
13.14868,16,12,12,0,33,1,0,1995,12
7.378609,14,12,12,1,32,1,0,1995,13
7.378609,12,12,12,1,31,1,0,1995,14
7.673753,12,10,12,1,30,1,0,1995,13
25.98746,12,12,12,1,31,1,0,1995,14
12.54364,12,7,7,0,32,0,0,1995,15
14.01936,12,12,7,0,31,0,0,1995,14
29.73579,15,14,17,1,30,0,0,1995,10
11.06791,9,9,7,1,32,0,0,1995,18
32.79054,8,8,8,1,31,0,0,1995,18
18.50555,12,6,3,1,31,0,0,1995,14
16.91177,17,12,12,0,32,0,0,1995,10
9.592192,12,12,11,0,33,0,0,1995,16
7.865597,10,10,9,1,30,0,0,1995,15
9.961123,13,12,7,0,33,0,0,1995,15
30.90162,14,12,12,0,33,0,0,1995,14
13.13392,12,11,12,1,30,0,0,1995,13
22.03253,12,12,12,1,30,0,0,1995,13
5.35687,16,12,16,0,31,0,0,1995,10
30.88686,16,14,14,0,31,0,0,1995,10
12.39606,16,12,16,1,33,0,0,1995,12
17.20691,12,11,11,0,30,0,0,1995,13
18.15138,16,16,16,0,31,0,0,1995,10
11.99762,15,12,11,1,30,1,0,1995,10
25.73659,10,12,10,1,32,1,0,1995,17
14.43256,13,12,10,0,30,1,0,1995,12
12.54364,12,14,12,1,33,1,0,1995,16
7.74754,12,12,12,1,30,1,0,1995,13
16.01158,12,12,10,1,30,0,0,1995,13
17.72342,14,10,16,0,32,0,1,1995,13
10.33005,14,12,10,1,31,0,1,1995,12
40.58235,14,12,16,1,31,0,0,1995,12
27.596,12,11,12,0,33,0,0,1995,16
6.271818,9,9,12,0,33,0,0,1995,19
11.80577,12,9,12,1,30,0,0,1995,13
11.80577,12,9,12,1,29,0,1,1995,12
14.01936,8,12,12,1,31,0,0,1995,18
13.04538,12,12,14,1,31,0,0,1995,14
21.91447,12,13,15,0,32,0,0,1995,15
23.40495,13,16,20,0,30,0,0,1995,12
16.23294,16,11,12,1,33,1,0,1995,12
17.45779,17,11,12,1,31,1,0,1995,9
10.6252,11,6,4,1,33,0,0,1995,17
42.79593,13,10,11,0,32,0,1,1995,14
10.28578,8,6,6,1,30,0,1,1995,17
25.08727,12,9,7,0,30,0,1,1995,13
16.49857,18,13,17,1,32,0,0,1995,9
11.06791,12,7,12,0,32,1,0,1995,15
15.59838,13,12,18,0,31,1,0,1995,13
13.2815,12,11,12,0,29,1,0,1995,12
19.15487,12,10,11,0,30,1,0,1995,13
8.854331,13,10,14,0,32,1,0,1995,14
30.26705,16,12,12,1,33,0,0,1995,12
25.2496,17,16,16,1,31,0,0,1995,9
26.56299,16,16,16,0,30,0,0,1995,9
15.08188,20,16,18,1,30,0,0,1995,5
10.33005,12,14,16,0,33,0,0,1995,16
24.96921,14,14,16,1,30,0,0,1995,11
11.80577,16,12,14,0,30,0,0,1995,9
15.71644,18,12,14,0,33,0,0,1995,10
9.459376,12,16,14,1,32,0,0,1995,15
13.53237,12,7,7,0,33,1,0,1995,16
11.87956,12,12,10,1,33,1,0,1995,16
13.03062,12,12,8,1,29,1,0,1995,12
12.91257,13,6,12,0,33,1,0,1995,15
12.51412,15,6,12,0,30,1,0,1995,10
14.75722,12,13,12,0,32,0,0,1995,15
28.37813,16,6,6,0,31,0,1,1995,10
13.51761,10,12,10,1,31,0,0,1995,16
14.75722,14,12,14,1,33,0,0,1995,14
14.38829,12,12,14,1,31,0,0,1995,14
8.928117,12,12,14,1,32,0,0,1995,15
16.63139,14,12,14,0,31,0,0,1995,12
10.33005,12,12,18,1,33,0,0,1995,16
12.48461,18,13,14,1,30,0,0,1995,7
11.6582,12,12,16,0,31,0,0,1995,14
29.79482,16,12,15,1,32,0,0,1995,11
19.59759,12,12,12,1,33,0,0,1995,16
16.67566,11,12,12,1,31,0,0,1995,15
26.56299,12,16,13,1,32,0,0,1995,15
16.39527,16,12,12,0,32,0,0,1995,11
11.3483,12,11,11,1,32,0,0,1995,15
8.957631,12,11,11,1,30,0,0,1995,13
7.74754,10,11,11,0,29,0,0,1995,14
16.52808,10,12,12,1,31,0,0,1995,16
24.58553,12,10,12,1,32,0,0,1995,15
7.378609,12,10,12,0,30,0,0,1995,13
24.37893,12,12,12,1,30,0,0,1995,13
19.18438,14,12,12,1,30,0,0,1995,11
14.09314,12,12,12,1,32,0,0,1995,15
11.1417,13,12,12,1,30,0,0,1995,12
55.04442,18,12,8,1,33,0,0,1995,10
16.9708,16,17,17,0,31,0,0,1995,10
29.55871,16,16,14,1,31,0,0,1995,10
25.3529,12,12,12,0,32,0,0,1995,15
16.9708,15,12,12,1,30,0,0,1995,10
17.73818,13,12,16,1,32,0,0,1995,14
28.93891,20,12,16,0,29,0,0,1995,4
30.50317,16,12,12,0,33,0,0,1995,12
16.54284,12,12,12,1,31,0,0,1995,14
19.65661,13,6,4,1,33,0,1,1995,15
14.01936,12,8,12,0,31,0,1,1995,14
34.48762,12,11,9,1,31,0,1,1995,14
18.04808,16,12,12,0,32,0,0,1995,11
29.51443,14,12,12,1,30,0,0,1995,11
12.86829,12,12,14,1,33,0,1,1995,16
16.23294,15,12,14,0,31,0,1,1995,11
11.1417,11,12,12,1,30,0,0,1995,14
16.23294,20,12,16,1,33,0,1,1995,8
14.75722,12,12,8,1,31,0,0,1995,14
28.85036,16,18,14,1,31,0,0,1995,10
12.54364,12,12,12,1,33,0,0,1995,16
18.44652,10,6,6,1,33,0,1,1995,18
17.70866,13,16,16,0,33,1,0,1995,15
17.36925,15,2,0,0,32,0,1,1995,12
15.59838,11,9,9,0,32,0,0,1995,16
30.50317,12,12,12,0,30,0,0,1995,13
47.2231,16,17,12,0,32,0,0,1995,11
19.86321,17,16,16,0,31,0,0,1995,9
39.01809,17,8,12,0,32,0,1,1995,10
42.9435,12,14,12,1,33,0,0,1995,16
23.86242,17,16,18,0,30,0,0,1995,8
7.378609,12,20,20,1,32,0,0,1995,15
13.2815,15,14,13,0,30,1,0,1995,10
11.00888,13,12,11,1,32,1,0,1995,14
15.46556,14,14,20,1,32,0,0,1995,13
14.18169,16,14,13,1,32,0,1,1995,11
14.97858,12,10,10,0,30,0,0,1995,13
12.76499,12,14,20,1,31,0,0,1995,14
21.70787,12,12,12,1,30,0,0,1995,13
10.43335,12,13,15,1,33,0,0,1995,16
26.56299,14,12,12,0,31,0,0,1995,12
7.378609,12,12,14,1,33,0,0,1995,16
9.223261,9,12,11,0,31,0,0,1995,17
11.98286,14,13,14,0,31,0,0,1995,12
8.027926,12,12,16,1,30,0,0,1995,13
14.86052,17,12,17,0,32,0,0,1995,10
68.10456,13,12,12,1,31,0,0,1995,13
9.592192,14,10,11,1,31,0,1,1995,12
22.29815,12,12,8,0,33,0,0,1995,16
16.9708,12,2,0,1,33,0,1,1995,16
12.29276,14,2,0,1,31,0,1,1995,12
11.56966,12,8,6,0,32,0,1,1995,15
28.37813,20,12,13,0,33,0,0,1995,8
7.408123,13,12,12,0,32,0,1,1995,14
12.32228,12,11,15,0,29,0,0,1995,12
22.29815,16,12,13,1,30,0,0,1995,9
11.80577,15,12,16,0,32,0,0,1995,12
19.61234,12,10,12,1,32,0,0,1995,15
18.44652,12,12,12,1,30,0,0,1995,13
11.80577,12,8,8,1,31,0,0,1995,14
36.62741,17,12,12,1,33,0,0,1995,11
15.27372,12,12,12,1,33,0,0,1995,16
7.378609,12,12,12,0,30,0,0,1995,13
11.80577,12,12,12,1,30,0,0,1995,13
10.69898,12,8,9,0,33,0,0,1995,16
6.862106,12,8,9,1,31,0,0,1995,14
10.33005,14,12,14,1,32,0,0,1995,13
14.75722,13,12,12,0,33,0,0,1995,15
19.3172,12,12,12,0,30,0,0,1995,13
14.01936,12,11,11,0,33,0,0,1995,16
29.51443,12,11,11,0,30,0,0,1995,13
5.666771,12,12,12,1,33,0,0,1995,16
17.05935,12,12,10,1,31,0,0,1995,14
20.58632,13,10,12,0,33,0,0,1995,15
9.739763,12,10,12,0,30,0,0,1995,13
20.6601,12,12,12,1,33,0,0,1995,16
30.99016,12,12,12,1,33,0,0,1995,16
16.63139,14,12,12,1,31,0,0,1995,12
14.75722,12,12,12,0,33,0,0,1995,16
20.29117,16,12,12,1,33,0,0,1995,12
44.27165,14,12,11,1,33,0,0,1995,14
8.91336,12,10,10,0,33,0,0,1995,16
21.07331,17,12,15,1,30,0,0,1995,8
15.65741,14,12,16,1,31,0,0,1995,12
14.75722,11,8,9,1,33,0,0,1995,17
19.58283,12,12,12,1,33,0,0,1995,16
10.47762,12,12,8,0,33,0,0,1995,16
26.23833,12,17,14,1,33,0,0,1995,16
17.41352,12,12,12,0,31,0,0,1995,14
22.13583,12,12,14,1,30,0,0,1995,13
17.11837,12,12,12,1,30,0,0,1995,13
14.75722,15,9,8,0,32,0,0,1995,12
14.01936,12,12,12,1,31,0,0,1995,14
20.57156,14,12,12,1,30,0,0,1995,11
16.60187,14,12,12,0,31,0,0,1995,12
16.46906,13,12,3,1,30,0,0,1995,12
14.75722,15,12,15,0,33,0,0,1995,13
22.6966,16,16,12,1,32,0,0,1995,11
17.01507,16,12,16,0,30,0,0,1995,9
8.116469,13,7,8,1,29,0,0,1995,11
31.21152,16,12,11,1,32,0,0,1995,11
14.75722,12,12,11,1,30,0,0,1995,13
9.001903,12,12,12,1,29,0,0,1995,12
14.01936,11,12,14,1,31,0,0,1995,15
18.25468,12,12,15,1,29,0,0,1995,12
45.3932,12,12,12,1,31,0,0,1995,14
13.51761,12,11,9,0,31,0,0,1995,14
25.08727,19,17,12,0,32,0,0,1995,8
37.83751,18,13,17,1,32,0,0,1995,9
11.06791,14,12,12,1,31,0,0,1995,12
14.75722,12,13,8,1,29,0,0,1995,12
6.050459,11,12,7,1,30,0,0,1995,14
59.02887,12,12,13,1,29,0,0,1995,12
20.40923,13,11,12,0,31,0,0,1995,13
9.81355,12,10,4,0,31,0,0,1995,14
19.58283,12,12,12,1,32,0,0,1995,15
27.66978,12,12,10,0,32,0,0,1995,15
13.42907,12,12,12,1,30,0,0,1995,13
21.01428,12,12,12,1,33,0,0,1995,16
21.27991,14,12,12,0,32,0,0,1995,13
17.70866,12,12,12,1,31,0,0,1995,14
11.80577,9,11,5,1,31,0,0,1995,17
29.51443,13,12,12,0,31,0,0,1995,13
22.6966,14,12,12,1,32,0,0,1995,13
8.116469,12,12,14,1,32,0,0,1995,15
11.06791,17,14,14,1,31,0,0,1995,9
37.60139,19,10,12,1,31,0,0,1995,7
17.70866,12,12,12,0,30,0,0,1995,13
13.72421,12,12,12,1,33,0,0,1995,16
25.08727,12,12,12,1,32,0,0,1995,15
18.57934,16,12,16,0,29,0,0,1995,8
6.862106,12,12,8,0,31,0,0,1995,14
7.15725,12,10,6,0,33,0,0,1995,16
11.06791,12,8,12,0,33,0,0,1995,16
18.07759,14,11,13,0,31,0,0,1995,12
12.55839,13,12,12,0,32,0,0,1995,14
6.78832,9,12,12,0,31,0,0,1995,17
92.23261,12,10,8,1,31,0,0,1995,14
17.14789,12,12,16,1,32,0,0,1995,15
13.39955,12,12,12,0,30,0,0,1995,13
22.13583,16,12,12,1,30,0,0,1995,9
15.59838,14,12,13,1,33,0,0,1995,14
18.44652,14,12,12,0,32,0,0,1995,13
17.19216,13,12,12,1,31,0,0,1995,13
6.271818,12,8,8,0,32,0,0,1995,15
35.46159,15,16,9,0,33,0,0,1995,13
24.40844,18,16,6,0,31,1,0,1995,8
19.15487,12,12,12,1,33,1,0,1995,16
7.555696,16,12,12,1,32,1,0,1995,11
12.76499,16,12,12,1,33,1,0,1995,12
21.38321,14,13,9,1,31,0,0,1995,12
15.00809,12,12,11,1,33,0,0,1995,16
