ID,FEMALE,MALE,AGE,ETHBLACK,ETHHISP,ETHWHITE,S,MARISTAT,SINGLE,MARRIED,COHABIT,OTHSING,ASVABC,CHILDREN,EARNINGS,HOURS,TENURE,CHILDL06,CHILDL16,WORKING,EXP
104,1,0,31,0,0,1,16,3,0,1,0,0,.1113328,4,15,40,.7884616,0,0,1,8.826923
105,0,1,28,0,0,1,12,3,0,1,0,0,.9135647,4,27.5,40,5.076923,1,0,1,9.769231
107,1,0,29,0,0,1,17,1,0,0,1,0,1.489484,4,34,10,.9423077,0,0,1,5.326923
108,0,1,27,0,0,1,16,2,1,0,0,0,.7246757,4,26.44,40,2.653846,0,0,1,4.865385
109,1,0,29,0,0,1,16,3,0,1,0,0,1.220474,4,23.5,45,7.153846,0,0,1,7.153846
110,1,0,27,0,0,1,18,3,0,1,0,0,-.0226017,4,28.85,40,3.173077,0,0,1,3.826923
111,1,0,30,0,0,1,16,2,1,0,0,0,.6984118,2,21.15,40,4,0,0,1,5.673077
113,0,1,27,0,0,1,17,2,1,0,0,0,.9317004,6,14.8,35,.7307692,1,0,1,2.442308
114,1,0,29,0,0,1,16,2,1,0,0,0,.5086153,1,11.25,80,.25,0,0,1,6.5
115,1,0,27,0,1,0,10,2,1,0,0,0,.2179705,1,16.03,60,8,0,0,1,8
122,0,1,27,0,0,1,12,2,1,0,0,0,.3566652,2,13.7,40,2.769231,0,0,1,6.961538
126,0,1,30,0,0,1,12,1,0,0,1,0,-.2695455,3,22.2,40,8.615385,0,1,1,12.03846
128,1,0,29,0,0,1,17,2,1,0,0,0,.5009088,3,21,40,.7884616,0,0,1,7.730769
132,0,1,28,0,0,1,17,3,0,1,0,0,1.202096,3,29.81,40,5.211538,0,0,1,5.211538
133,0,1,29,0,0,1,16,2,1,0,0,0,1.196569,2,32.05,45,5.038462,0,0,1,5.038462
135,0,1,30,0,0,1,18,3,0,1,0,0,1.412689,3,30.29,40,6.288462,0,0,1,6.769231
137,1,0,31,0,0,1,11,3,0,1,0,0,.7197201,4,8.75,40,7.557693,1,0,1,9.961538
138,0,1,27,0,0,1,14,2,1,0,0,0,.4195336,3,12,35,.4230769,0,0,1,.8269231
142,1,0,30,0,0,1,12,8,0,0,0,1,.2094447,5,16,40,8.192307,0,1,1,10.25
143,0,1,30,1,0,0,14,3,0,1,0,0,-.3178518,3,,,0,1,0,0,5.288462
144,0,1,29,1,0,0,13,2,1,0,0,0,.2474384,3,30.23,40,1.557692,0,1,1,5.903846
145,0,1,27,1,0,0,15,2,1,0,0,0,-.0930198,6,32,36,2.980769,0,0,1,2.980769
146,0,1,27,1,0,0,12,2,1,0,0,0,-1.168978,1,17,40,8.096154,0,0,1,9.711538
147,1,0,27,0,0,1,13,2,1,0,0,0,.2413339,6,,,0,0,0,0,1.961538
149,1,0,28,1,0,0,15,2,1,0,0,0,-1.765355,1,,,0,0,0,0,.6538461
150,0,1,27,1,0,0,14,2,1,0,0,0,-1.589965,2,,,1.153846,0,0,0,4.384615
151,1,0,29,1,0,0,12,2,1,0,0,0,-.7911927,4,9.17,12,.3461539,0,0,1,10.46154
152,0,1,29,1,0,0,12,2,1,0,0,0,-.3294531,2,10.45,40,2.826923,1,0,1,7.538462
153,1,0,31,1,0,0,12,2,1,0,0,0,-1.330293,3,,,0,1,0,0,1.769231
155,0,1,31,0,0,1,16,2,1,0,0,0,2.011237,2,35.26,60,4.230769,0,0,1,8.884615
156,0,1,29,0,0,1,20,1,0,0,1,0,1.191552,2,18.64,65,2,0,0,1,2
158,0,1,27,0,1,0,16,2,1,0,0,0,.4390343,3,28.85,40,5.038462,0,0,1,5.038462
159,1,0,31,0,1,0,12,3,0,1,0,0,-1.959115,3,15,40,.8461539,1,0,1,8.634615
161,0,1,29,0,1,0,11,2,1,0,0,0,-1.697068,4,,,0,0,1,0,0
164,1,0,30,0,0,1,13,8,0,0,0,1,.1225609,3,22.74,40,5.884615,0,1,1,7.75
165,0,1,31,0,0,1,16,3,0,1,0,0,-.1572809,3,36.66,48,2.826923,1,0,1,9.711538
166,1,0,29,0,0,1,17,2,1,0,0,0,1.042006,3,40,40,3.846154,0,0,1,6.442307
168,0,1,30,0,1,0,12,3,0,1,0,0,-.2718249,3,17.5,40,3,0,0,1,10.67308
169,1,0,28,0,0,1,11,1,0,0,1,0,.8602485,7,8.25,6,.6346154,1,0,1,5.038462
170,1,0,27,0,0,1,15,2,1,0,0,0,.2403952,7,,,0,0,0,0,4.019231
171,1,0,27,0,1,0,15,3,0,1,0,0,.8398837,2,16.5,40,5.346154,1,0,1,6.826923
176,0,1,29,0,0,1,17,3,0,1,0,0,1.050269,3,25.64,45,5.692307,0,0,1,6.653846
177,1,0,31,0,0,1,18,3,0,1,0,0,.1466881,2,38.75,40,2.057692,1,0,1,2.557692
178,1,0,31,0,0,1,18,3,0,1,0,0,1.043929,3,16.99,52,2.288461,0,0,1,5.769231
180,0,1,28,0,0,1,16,3,0,1,0,0,1.604367,3,,50,5.5,1,0,0,5.5
181,1,0,29,0,0,1,19,3,0,1,0,0,2.245183,2,25,50,.8653846,0,0,1,2.211539
182,1,0,27,0,0,1,16,3,0,1,0,0,1.912458,2,28.21,60,5.134615,0,0,1,5.134615
183,1,0,31,0,0,1,16,2,1,0,0,0,.8031288,2,11.7,4,5.75,0,0,1,5.75
185,0,1,30,1,0,0,12,2,1,0,0,0,-1.274861,8,,,0,0,0,0,6.75
187,0,1,28,0,1,0,17,3,0,1,0,0,.9673278,4,,,0,1,0,0,1.153846
190,0,1,28,0,0,1,9,2,1,0,0,0,.7198588,4,,,0,0,0,0,6.307693
191,0,1,29,0,0,1,12,3,0,1,0,0,.7304192,2,12.75,40,.2692308,1,0,1,9.461538
192,1,0,29,0,1,0,12,2,1,0,0,0,.4594678,3,,,0,0,1,0,4.903846
193,1,0,30,1,0,0,12,8,0,0,0,1,-.6329013,3,,,0,1,0,0,6.807693
194,1,0,31,0,1,0,13,3,0,1,0,0,.3317578,4,16.93,40,9.076923,1,0,1,9.076923
197,1,0,30,0,0,1,20,3,0,1,0,0,.9148236,2,29.76,40,1,0,0,1,1
198,1,0,31,0,0,1,12,3,0,1,0,0,-.3057032,2,0,32,1.403846,0,1,0,10.90385
199,0,1,29,0,0,1,16,2,1,0,0,0,.5081161,2,5.5,30,1.673077,0,0,1,5.307693
202,0,1,29,0,0,1,11,3,0,1,0,0,-.2347117,2,23,40,.6538461,0,1,1,10.69231
203,1,0,27,0,0,1,16,3,0,1,0,0,.3381292,2,29.91,45,4.480769,0,0,1,4.5
204,1,0,30,0,0,1,14,3,0,1,0,0,.8504636,2,14.54,50,3.038461,1,0,1,3.038461
212,0,1,31,0,1,0,10,3,0,1,0,0,-.1261566,2,18.14,50,10.23077,1,0,1,13.65385
213,1,0,29,0,1,0,15,3,0,1,0,0,-.4237557,2,22,5,3,1,0,1,3.365385
216,1,0,31,0,1,0,15,3,0,1,0,0,.5929962,3,17.46,30,2.75,0,1,1,2.75
217,1,0,29,0,1,0,12,3,0,1,0,0,-.6322723,3,9,15,5.442307,1,0,1,9.557693
221,1,0,27,0,0,1,14,1,0,0,1,0,.5848022,5,13.5,40,3.846154,1,0,1,6.307693
222,0,1,30,0,1,0,15,2,1,0,0,0,.2231818,2,16,40,4.807693,0,0,1,4.807693
223,0,1,30,0,1,0,15,2,1,0,0,0,.9428841,2,,,0,0,0,0,0
224,1,0,29,0,0,1,12,3,0,1,0,0,-.4015932,2,17,37,9.961538,0,0,1,11.44231
225,0,1,31,0,0,1,12,3,0,1,0,0,.4237238,2,19.23,1,13.84615,0,0,1,13.84615
226,1,0,30,1,0,0,14,6,0,0,0,1,-1.928675,3,8.2,40,1.692308,0,1,1,9.653846
228,0,1,27,0,0,1,15,2,1,0,0,0,-.5550892,2,12,25,.0769231,0,0,1,2
229,1,0,27,0,0,1,16,2,1,0,0,0,1.062434,1,3.63,35,5.730769,0,0,1,5.730769
230,0,1,27,0,1,0,16,2,1,0,0,0,.5097826,2,26.23,40,2.461539,0,0,1,2.461539
232,0,1,27,0,1,0,15,2,1,0,0,0,-.188159,3,21,16,.5576923,0,0,1,.5576923
235,1,0,30,0,0,1,16,2,1,0,0,0,.1782706,2,0,60,1.038462,0,0,0,7.596154
236,1,0,27,0,1,0,14,2,1,0,0,0,.4839191,2,17,40,5.461538,0,0,1,7.769231
237,0,1,28,0,0,1,16,2,1,0,0,0,.4760192,2,22.06,40,1.211538,0,0,1,3.384615
238,1,0,30,0,0,1,16,2,1,0,0,0,.7679579,2,,,0,0,0,0,1.076923
241,1,0,28,0,1,0,20,2,1,0,0,0,.1087205,3,28.95,36,1.096154,0,0,1,1.365385
242,0,1,27,0,1,0,18,2,1,0,0,0,-.1805409,3,27,40,1.057692,0,0,1,1.057692
244,0,1,28,0,1,0,13,2,1,0,0,0,-2.033469,3,32.56,40,1.653846,0,0,1,9.557693
245,1,0,27,0,0,1,18,2,1,0,0,0,-.0378532,4,12.15,30,1,0,0,1,2.019231
246,0,1,31,0,1,0,20,2,1,0,0,0,1.202608,3,44.19,40,3.769231,0,0,1,3.769231
247,0,1,29,0,0,1,16,2,1,0,0,0,1.196657,2,19.23,65,1.634615,0,0,1,6.942307
248,1,0,28,0,0,1,16,2,1,0,0,0,.8418832,2,15.38,60,4.557693,0,0,1,5.519231
251,0,1,29,0,1,0,17,2,1,0,0,0,.2631244,2,26.44,40,4.711538,0,0,1,6.903846
254,0,1,30,0,0,1,16,2,1,0,0,0,.1802983,4,6.25,168,4.865385,0,0,1,6.519231
258,0,1,29,0,0,1,18,3,0,1,0,0,-.4065948,3,9.5,40,.1923077,0,0,1,5.596154
260,0,1,31,1,0,0,16,2,1,0,0,0,-1.008714,3,11,15,.6538461,0,0,1,6.173077
261,0,1,28,1,0,0,12,2,1,0,0,0,-1.104016,3,16,45,4.634615,0,0,1,8.788462
262,0,1,31,1,0,0,11,2,1,0,0,0,-2.726188,4,7,21,2.711539,0,1,1,5.5
263,0,1,28,1,0,0,9,2,1,0,0,0,-.5060912,4,,,0,0,0,0,3.346154
264,0,1,29,0,0,1,14,3,0,1,0,0,-.1121739,2,17,40,.2115385,1,0,1,2.423077
265,0,1,28,0,1,0,13,3,0,1,0,0,-.9601891,6,18.15,40,7.096154,0,0,1,8.692307
267,1,0,31,0,0,1,17,2,1,0,0,0,1.107708,2,18.46,50,5.307693,0,0,1,6.961538
268,0,1,30,0,1,0,14,3,0,1,0,0,-.2715672,4,12.79,43,.7884616,1,0,1,7.711538
270,1,0,27,0,0,1,13,3,0,1,0,0,.8009602,2,13.43,40,2.019231,1,0,1,8.384615
271,1,0,29,0,0,1,10,3,0,1,0,0,-1.052362,4,,,0,1,0,0,8.653846
272,1,0,29,0,1,0,10,8,0,0,0,1,-.9099451,5,7.5,20,.0961538,0,1,1,3.076923
278,0,1,31,0,0,1,12,3,0,1,0,0,.3635378,2,19.23,40,5.269231,0,1,1,12.55769
281,0,1,27,1,0,0,12,2,1,0,0,0,-.0944188,3,14,45,2.826923,1,0,1,7.653846
282,0,1,31,0,0,1,12,2,1,0,0,0,-.4469627,3,10.5,36,.9038461,1,0,1,12.75
283,0,1,27,0,0,1,15,2,1,0,0,0,.6639383,3,15.12,40,5.826923,0,0,1,5.826923
284,1,0,30,1,0,0,16,1,0,0,1,0,-1.418946,7,,,0,1,0,0,5.307693
285,0,1,30,0,0,1,12,3,0,1,0,0,-.4297432,8,16.73,54,7.634615,1,0,1,10.75
287,0,1,31,0,0,1,12,2,1,0,0,0,-.7391297,3,24.06,40,12.32692,1,0,1,12.78846
288,1,0,28,0,0,1,14,2,1,0,0,0,-.4049957,3,15.4,35,5.923077,1,0,1,7.192307
289,1,0,27,0,0,1,13,2,1,0,0,0,-.1903663,3,11.73,35,4.442307,0,0,1,8.730769
290,1,0,27,0,0,1,12,1,0,0,1,0,.2445755,5,0,15,.5961539,1,0,0,6.442307
291,1,0,31,0,0,1,11,3,0,1,0,0,-.0633281,2,,,0,1,0,0,10
292,1,0,27,1,0,0,15,1,0,0,1,0,-.3112341,2,12.75,10,5.096154,0,1,1,6.596154
293,1,0,28,0,1,0,16,4,0,0,0,1,.9318738,3,0,40,.4230769,0,0,0,3
294,0,1,29,0,1,0,18,3,0,1,0,0,.5875347,3,30,40,1.326923,1,0,1,3.75
296,1,0,30,0,1,0,16,3,0,1,0,0,-1.336104,4,15,35,1.173077,1,0,1,6.615385
297,0,1,27,0,1,0,12,3,0,1,0,0,-1.322173,4,15,40,5.211538,0,0,1,7.403846
298,1,0,28,0,0,1,14,1,0,0,1,0,1.393429,3,16.5,45,1.423077,0,0,1,7.557693
299,0,1,30,0,0,1,13,3,0,1,0,0,-.5858862,2,29.07,16,2,0,0,1,6.134615
301,1,0,30,0,0,1,20,1,0,0,1,0,-2.225994,2,23.5,45,3.807692,0,0,1,3.807692
303,1,0,31,0,0,1,16,1,0,0,1,0,.3652489,5,,,0,0,0,0,4.865385
304,0,1,28,0,0,1,19,2,1,0,0,0,.8507605,4,30,,.8846154,0,0,1,3.153846
305,1,0,28,0,0,1,18,3,0,1,0,0,-.3721077,4,,35,.6538461,1,0,0,.6538461
306,1,0,31,0,0,1,18,3,0,1,0,0,.2004187,8,,29,1.25,1,0,0,7.211538
307,1,0,31,0,0,1,20,1,0,0,1,0,1.230881,2,25.87,55,5.326923,0,0,1,5.326923
308,0,1,30,0,0,1,14,3,0,1,0,0,-.451233,8,,55,.8461539,0,0,0,9.5
309,1,0,30,0,0,1,16,3,0,1,0,0,-.8298143,9,,30,.2884615,1,0,0,5.403846
311,0,1,29,0,0,1,16,3,0,1,0,0,.7968975,5,18,,4.961538,0,0,1,5.903846
313,1,0,30,0,0,1,16,3,0,1,0,0,1.524408,3,,,0,1,0,0,8.038462
315,1,0,29,0,0,1,12,1,0,0,1,0,-.1511465,3,7.25,20,.0769231,1,0,1,7.019231
321,0,1,30,0,0,1,12,3,0,1,0,0,.240922,2,39.42,40,2.480769,1,0,1,12.48077
322,1,0,29,0,0,1,19,2,1,0,0,0,-.0033353,2,20,,.6923077,0,0,1,3.576923
323,0,1,31,0,0,1,15,1,0,0,1,0,1.06235,1,28.06,44,6.365385,0,0,1,7.480769
325,0,1,27,0,0,1,18,2,1,0,0,0,-1.303748,1,,,0,0,0,0,1.230769
332,0,1,31,0,0,1,17,2,1,0,0,0,1.608566,4,21.52,42,3.788461,0,0,1,7.75
333,1,0,29,0,0,1,14,1,0,0,1,0,-.2760386,4,19,20,1.903846,0,0,1,9.480769
334,1,0,27,0,0,1,16,1,0,0,1,0,.7000724,2,28.87,40,1.653846,0,0,1,5
336,0,1,29,1,0,0,20,3,0,1,0,0,-.0034645,1,53.49,40,2.788461,1,0,1,2.788461
337,0,1,28,0,0,1,16,2,1,0,0,0,.7238796,3,34.62,40,5.884615,0,0,1,6.403846
338,1,0,30,0,0,1,19,3,0,1,0,0,1.21487,2,18,4,.1538462,0,0,1,4.980769
339,1,0,30,0,0,1,16,2,1,0,0,0,.5853359,4,45,40,3.384615,0,0,1,7.288462
340,0,1,30,0,0,1,19,2,1,0,0,0,-.8641543,4,,,0,0,0,0,0
341,0,1,28,0,0,1,17,2,1,0,0,0,.0715386,4,14.9,40,3.153846,0,0,1,4.5
346,0,1,27,0,1,0,13,8,0,0,0,1,-.4960878,9,15,40,.2307692,0,0,1,1.384615
362,1,0,30,0,1,0,13,3,0,1,0,0,.4790624,4,13.75,40,2.807692,1,0,1,6.942307
363,1,0,28,0,1,0,14,3,0,1,0,0,-.159534,4,15,15,.1153846,1,0,1,6.230769
366,1,0,31,0,1,0,18,2,1,0,0,0,.0450237,4,24,40,4.269231,0,0,1,4.711538
367,0,1,30,0,1,0,14,2,1,0,0,0,.2477572,5,14.42,40,.9038461,0,0,1,6.942307
368,1,0,30,0,1,0,13,3,0,1,0,0,-.9525711,5,13.36,40,4.519231,1,0,1,8.384615
371,1,0,29,0,1,0,9,3,0,1,0,0,-.9911911,10,8,35,.75,1,0,1,7.961538
372,0,1,28,0,1,0,12,2,1,0,0,0,-.811407,4,14.5,40,.3269231,0,0,1,9.519231
373,1,0,27,0,1,0,12,6,0,0,0,1,-1.639898,4,9,35,4.557693,0,0,1,6.5
382,1,0,31,0,0,1,18,3,0,1,0,0,-.0655311,1,21.51,40,3.615385,1,0,1,4.75
385,0,1,30,0,1,0,14,1,0,0,1,0,-1.781019,3,,40,3.673077,1,0,0,7.711538
386,0,1,31,0,1,0,15,1,0,0,1,0,-.3001128,9,15.87,40,1.019231,0,0,1,9.865385
388,1,0,29,0,1,0,9,3,0,1,0,0,-1.050504,6,8.25,4,1.153846,1,0,1,5.653846
392,0,1,31,0,1,0,15,3,0,1,0,0,1.906525,2,21.31,37,4.461538,1,0,1,5.788462
393,0,1,28,0,1,0,17,2,1,0,0,0,-.291309,2,12.5,50,.9230769,0,0,1,1.826923
394,0,1,27,0,1,0,17,2,1,0,0,0,1.103636,2,33.4,40,1.980769,0,0,1,2.480769
396,0,1,28,0,0,1,17,1,0,0,1,0,.4195509,3,25,40,3.326923,0,0,1,3.326923
401,0,1,27,0,0,1,14,2,1,0,0,0,.2189607,1,,,0,0,0,0,.2115385
403,1,0,27,1,0,0,12,7,0,0,1,0,-.4224745,4,,,0,1,0,0,.6730769
404,0,1,31,0,0,1,18,3,0,1,0,0,-.0088109,8,21.42,44,2.865385,1,0,1,9.019231
408,0,1,31,1,0,0,14,2,1,0,0,0,.0204009,5,18.08,40,7.019231,0,0,1,7.019231
411,1,0,31,0,1,0,13,2,1,0,0,0,-.1604119,4,,,0,1,0,0,3.384615
412,0,1,29,0,1,0,18,1,0,0,1,0,-.1109799,4,,,0,0,0,0,1.961538
414,1,0,31,1,0,0,12,2,1,0,0,0,-1.101747,2,,,0,0,0,0,.3076923
415,1,0,30,0,0,1,17,2,1,0,0,0,-1.555843,2,25.04,43,7.057693,0,0,1,7.057693
416,1,0,31,0,0,1,20,3,0,1,0,0,2.064852,2,62.13,65,1.846154,1,0,1,4
417,1,0,28,0,0,1,16,2,1,0,0,0,-.5099694,1,21.37,45,1.173077,0,0,1,6.980769
419,0,1,27,0,0,1,14,2,1,0,0,0,1.399171,4,60,20,1.788462,0,0,1,3.826923
424,1,0,27,0,1,0,17,2,1,0,0,0,.6360638,3,23.08,40,3.788461,0,0,1,4.673077
425,1,0,29,0,0,1,18,3,0,1,0,0,1.472823,2,27.5,40,2.807692,1,0,1,5
426,1,0,31,0,1,0,12,2,1,0,0,0,-1.948221,3,8,37,.3846154,0,0,1,9.826923
428,1,0,27,0,1,0,11,5,0,0,1,0,-1.840138,4,22,40,7.461538,1,0,1,8
429,0,1,30,0,0,1,9,2,1,0,0,0,.2826026,3,,25,.9615384,0,0,0,7.384615
432,0,1,30,0,1,0,12,1,0,0,1,0,-.9658228,2,15,50,4.826923,0,1,1,11.67308
434,0,1,29,0,0,1,12,2,1,0,0,0,-.157542,8,12.78,45,.5192308,0,0,1,9
437,1,0,30,0,1,0,12,3,0,1,0,0,-.3059041,5,,,0,1,0,0,1.173077
438,0,1,28,0,1,0,11,8,0,0,0,1,-.3043952,5,12.5,40,6.480769,0,1,1,7.673077
439,1,0,27,0,1,0,11,3,0,1,0,0,-1.952866,5,8.5,37,1.923077,1,0,1,4.653846
440,0,1,31,0,1,0,14,8,0,0,0,1,-.4684976,6,30,50,6.730769,1,0,1,8.788462
441,0,1,29,0,1,0,10,8,0,0,0,1,-1.43949,4,,40,2.673077,1,0,0,10.67308
454,0,1,29,0,1,0,13,2,1,0,0,0,.3073504,3,10.35,19,1.326923,0,0,1,8.25
456,0,1,28,0,1,0,20,2,1,0,0,0,.6543608,3,18,40,3.884615,0,0,1,3.884615
459,1,0,28,0,1,0,15,2,1,0,0,0,.0076593,2,13,,2.75,0,0,1,2.75
460,1,0,30,0,1,0,12,2,1,0,0,0,-2.245013,6,9,35,1.692308,1,0,1,6.846154
461,1,0,28,0,1,0,11,1,0,0,1,0,-1.408732,6,9,40,7.557693,0,1,1,7.557693
464,1,0,30,0,1,0,12,2,1,0,0,0,-.6543207,3,13.94,40,5.307693,0,1,1,9.923077
466,0,1,28,0,1,0,10,3,0,1,0,0,-1.565211,5,14.75,40,4.596154,1,0,1,7.865385
472,1,0,28,0,1,0,16,2,1,0,0,0,-.323479,4,16,40,2.673077,0,0,1,2.769231
475,0,1,30,0,1,0,13,3,0,1,0,0,-1.083986,6,16.5,40,9.923077,0,0,1,9.923077
482,0,1,28,1,0,0,12,2,1,0,0,0,-1.051377,5,12.85,40,.5192308,0,0,1,7.211538
